Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2ajf_10445549_uff_E=548.96,-7.1,0.0,0.0
2ajf_10445549_uff_E=548.96,-6.8,15.152,13.792
2ajf_10445549_uff_E=548.96,-6.7,2.316,1.857
2ajf_10445549_uff_E=548.96,-6.7,6.303,3.129
2ajf_10445549_uff_E=548.96,-6.6,23.155,21.177
2ajf_10445549_uff_E=548.96,-6.6,15.24,14.026
2ajf_10445549_uff_E=548.96,-6.4,16.003,14.349
2ajf_10445549_uff_E=548.96,-6.3,19.237,16.393
2ajf_10445549_uff_E=548.96,-6.3,16.429,14.992
2ajf_107970_uff_E=220.61,-7.1,0.0,0.0
2ajf_107970_uff_E=220.61,-6.9,3.256,2.198
2ajf_107970_uff_E=220.61,-6.9,12.394,7.671
2ajf_107970_uff_E=220.61,-6.8,10.927,6.091
2ajf_107970_uff_E=220.61,-6.8,2.412,1.465
2ajf_107970_uff_E=220.61,-6.7,10.676,6.004
2ajf_107970_uff_E=220.61,-6.1,10.496,7.107
2ajf_107970_uff_E=220.61,-6.1,9.405,6.162
2ajf_107970_uff_E=220.61,-6.0,4.194,2.707
2ajf_213039_uff_E=952.16,-7.3,0.0,0.0
2ajf_213039_uff_E=952.16,-7.2,5.531,3.089
2ajf_213039_uff_E=952.16,-7.1,20.517,14.922
2ajf_213039_uff_E=952.16,-7.0,7.502,4.702
2ajf_213039_uff_E=952.16,-6.9,10.9,5.514
2ajf_213039_uff_E=952.16,-6.8,10.773,5.478
2ajf_213039_uff_E=952.16,-6.8,5.966,3.128
2ajf_213039_uff_E=952.16,-6.7,14.137,11.11
2ajf_213039_uff_E=952.16,-6.7,18.038,13.571
2ajf_2719_uff_E=262.55,-5.4,0.0,0.0
2ajf_2719_uff_E=262.55,-5.3,23.76,20.794
2ajf_2719_uff_E=262.55,-5.3,23.177,20.141
2ajf_2719_uff_E=262.55,-5.2,14.587,11.726
2ajf_2719_uff_E=262.55,-5.2,25.185,23.731
2ajf_2719_uff_E=262.55,-5.1,24.803,23.99
2ajf_2719_uff_E=262.55,-5.0,7.76,5.545
2ajf_2719_uff_E=262.55,-5.0,6.163,3.079
2ajf_2719_uff_E=262.55,-5.0,5.729,2.458
2ajf_492405_uff_E=221.12,-5.4,0.0,0.0
2ajf_492405_uff_E=221.12,-5.4,2.459,1.847
2ajf_492405_uff_E=221.12,-5.3,2.695,1.769
2ajf_492405_uff_E=221.12,-5.1,3.235,2.527
2ajf_492405_uff_E=221.12,-5.1,3.51,2.869
2ajf_492405_uff_E=221.12,-5.1,3.864,2.686
2ajf_492405_uff_E=221.12,-5.0,14.455,13.764
2ajf_492405_uff_E=221.12,-4.9,15.453,14.668
2ajf_492405_uff_E=221.12,-4.9,18.104,17.028
